Theme,p_collect,o_collect,o_predicted,p_score,o_score,Resources
Fairytale Garden,97,70,62660,85870,64856,NI
Golden Odeum,97,23,61063,98236,69594,NI
Beach Party,97,52,43289,85806,47358,NI
Summer Story,84,40,57891,76189,57450,NI
Office Star,97,11,45982,84177,51966,NI
Summer Story,84,48,51531,78477,58996,NI
A Growing Lady,84,50,58567,86262,58576,NI
Office Star,84,5,54364,85743,58003,NI
Ongoing Sports,84,52,56095,83662,62754,NI
,20,29,49590,10604,59854,NI
Cloud Lady,71,4,67938,153848,63122,NI
Imperial Ball,71,19,59292,89146,68739,NI
Office Star,71,44,55273,60752,68617,NI
Christmas Reunion,62,36,40000,77021,47987,NI
The Queen,62,6,46989,90757,50032,NI
Summer Story,62,4,36025,70224,36294,NI
Summer Party,62,12,49953,85256,53788,NI
Intern Translator,62,12,52025,143080,45092,NI
Beach Party,14,6,25878,74947,25974,NI
Summer Story,14,36,45845,73125,41734,NI
Intern Translator,14,67,93575,119342,105412,NI
Christmas Reunion,14,10,45450,68347,57154,NI
Summer Party,14,10,42038,67574,48808,NI
The Queen,49,43,59449,91383,74126,NI
Imperial Ball,49,11,54784,77790,52708,NI
Intern Translator,49,37,39535,118481,43993,NI
Summer Party,49,8,44366,79599,40660,NI
The Queen,49,31,50951,77979,54907,NI
Where is Spring,60,2,39047,87253,48172,NI
Summer Story,60,39,53658,72265,67698,NI
Office Star,60,32,50354,82363,59971,NI
Summer Story,60,39,47208,78380,59572,NI
Spring Outing,60,3,49369,85029,58872,NI
A Growing Lady,60,18,47387,88070,48295,NI
Intern Translator,38,43,96403,139903,119952,NI
Summer Party,38,13,60806,85450,61178,NI
The Queen,97,50,76564,88238,88613,NI
Great Detective,97,12,52979,91280,59493,NI
Office Star,97,7,44574,87891,48677,NI
Summer Party,97,16,58064,85026,68235,NI
Great Detective,97,36,52407,77229,57623,NI
The Queen,28,11,57219,91249,58113,NI
Cloud Lady,28,14,71814,142726,78104,NI
Summer Story,28,22,38186,75724,38852,NI
Office Star,28,22,41411,82673,44240,NI
Where is Spring,6,18,47027,70391,46727,NI
Imperial Ball,57,38,48440,84989,48255,NI
Fire in the Winter,6,4,33796,62741,38865,NI
Where is Spring,6,42,51123,62728,54485,NI
Beach Party,57,5,33579,60100,36548,NI
Fairytale Garden,6,41,56137,74680,67452,NI
Summer Party,57,48,38858,80601,38915,NI
Fairytale Garden,57,43,41840,71351,46486,NI
Intern Translator,45,9,48240,141865,49093,NI
A Growing Lady,57,13,41180,76737,42175,NI
Imperial Ball,47,16,49028,80446,56271,NI
Golden Odeum,47,5,45267,83854,45379,NI
Summer Story,47,11,47860,83310,52228,NI
Spring Outing,47,28,39851,72983,41420,NI
Christmas Reunion,47,40,49031,81160,55888,NI
Summer Party,18,5,42596,50544,45896,None
Summer Party,18,13,36872,55072,44851,None
Fire in the Winter,18,11,40136,59281,42477,None
Intern Translator,18,4,40699,99513,37228,None
Beach Party,18,40,41706,44164,39141,None
Golden Odeum,62,16,49549,98816,62226,NI
Intern Translator,62,41,42073,127168,42168,NI
Great Detective,62,6,52571,83376,50153,NI
Cloud Lady,62,24,54662,141414,74976,NI
Spring Outing,64,47,48568,79834,53641,NI
Fairytale Garden,64,33,49394,71432,58777,NI
Summer Party,64,3,27523,75384,30161,NI
Golden Odeum,64,15,49747,83994,56984,NI
Summer Story,64,29,39735,74154,41826,NI
Intern Translator,84,50,85331,138961,99531,NI
Intern Translator,84,41,82963,130354,96415,NI
Where is Spring,84,40,52178,78897,51546,NI
Fairytale Garden,84,50,56799,90995,56646,NI
The Queen,84,23,55149,87144,60977,NI
Office Star,60,33,46790,81900,51991,NI
Summer Story,60,34,27261,88457,30084,NI
